Quantity,Price,Side,Time
0.0001,30354.96,BUY,1688771910430
0.0001,30342.48,SELL,1688771910807
0.0001,30355.59,BUY,1688771971570
0.0001,30359.989999999998,BUY,1688772032491
0.0001,30352.35,SELL,1688772032751
0.0001,30350.01,SELL,1688772093157
0.0001,30325.08,BUY,1688772093537
0.0001,30349.949999999997,BUY,1688772361338
0.0001,30366.51,SELL,1688772361847
0.0001,30349.949999999997,BUY,1688772541546
0.0001,30367.85,SELL,1688772542058
0.0001,30349.94,BUY,1688772602704
0.0001,30379.77,SELL,1688772603095
0.0001,30344.989999999998,BUY,1688772663635
0.0001,30349.219999999998,BUY,1688772724775
0.0001,30372.02,SELL,1688772725156
0.0001,30345.0,BUY,1688772785697
0.0001,30339.969999999998,BUY,1688772846481
0.0001,30334.97,BUY,1688772907390
0.0001,30329.989999999998,BUY,1688772968172
0.0001,30380.12,SELL,1688772968400
0.0001,30330.43,BUY,1688773028886
0.0001,30381.37,SELL,1688773029144
0.0001,30320.019999999997,SELL,1688773089651
0.0001,30330.19,BUY,1688773090047
0.0001,30330.43,BUY,1688773150469
0.0001,30400.46,SELL,1688773150856
0.0001,30330.43,BUY,1688773211686
0.0001,30320.23,SELL,1688773272573
0.0001,30330.43,BUY,1688773333496
0.0001,30334.15,SELL,1688773333760
0.0001,30338.35,BUY,1688773393944
0.0001,30344.989999999998,BUY,1688773454730
0.0001,30391.35,SELL,1688773455247
0.0001,30344.989999999998,BUY,1688773515718
0.0001,30367.83,SELL,1688773516100
0.0001,30330.02,SELL,1688773576663
0.0001,30325.01,SELL,1688773637203
0.0001,30318.93,BUY,1688773637435
0.0001,30305.01,SELL,1688773697888
0.0001,30306.04,BUY,1688773698263
0.0001,30319.98,BUY,1688773758828
0.0001,30342.33,SELL,1688773759320
0.0001,30307.96,SELL,1688773819831
0.0001,30312.03,BUY,1688773820192
0.0001,30328.449999999997,BUY,1688773880622
0.0001,30328.43,BUY,1688773982161
0.0001,30329.25,BUY,1688774042982
0.0001,30334.989999999998,BUY,1688774103866
0.0001,30329.01,SELL,1688774104240
0.0001,30339.989999999998,BUY,1688774164766
0.0001,30350.0,BUY,1688774225515
0.0001,30389.83,SELL,1688774225774
0.0001,30360.57,BUY,1688774286302
0.0001,30400.0,SELL,1688774286789
0.0001,30360.58,BUY,1688774347260
0.0001,30361.349999999995,BUY,1688774408277
0.0001,30359.969999999998,BUY,1688774469138
0.0001,30382.59,SELL,1688774469633
0.0001,30350.0,BUY,1688774529936
0.0001,30335.04,SELL,1688774590802
0.0001,30292.8,BUY,1688774591161
0.0001,30325.01,SELL,1688774651488
0.0001,30307.09,BUY,1688774652009
0.0001,30344.98,BUY,1688774712788
0.0001,30394.32,SELL,1688774713279
0.0001,30325.0,BUY,1688776641817
0.0001,30322.28,SELL,1688776642661
0.0001,30295.0,SELL,1688776703991
0.0001,30292.73,BUY,1688776704487
0.0001,30304.989999999998,BUY,1688776765446
0.0001,30355.01,SELL,1688776765934
0.0001,30299.94,BUY,1688776826836
0.0001,30313.27,SELL,1688776827083
0.0001,30281.05,SELL,1688776888036
0.0001,30283.95,BUY,1688776888346
0.0001,30261.999999999996,SELL,1688778608357
0.0001,30228.77,BUY,1688778608917
0.0001,30261.999999999996,SELL,1688778669624
0.0001,30224.45,BUY,1688778669863
0.0001,30261.999999999996,SELL,1688778731035
0.0001,30253.39,BUY,1688778731407
0.0001,30319.989999999998,BUY,1688783626523
0.0001,30328.38,SELL,1688783627150
0.0001,30330.02,SELL,1688783687997
0.0001,30242.91,BUY,1688783688406
0.0001,30361.239999999998,SELL,1688784655691
0.0001,30344.72,BUY,1688784656293
0.0001,30375.009999999995,SELL,1688784717731
0.0001,30316.97,BUY,1688784718123
0.00011,30397.149999999998,BUY,1688784798110
0.00011,30388.96,SELL,1688784798483
0.00011,30400.73,BUY,1688785097819
0.00011,30396.9,SELL,1688785098440
0.0001,30339.862,SELL,1688785319252
0.0001,30312.86,BUY,1688785319750
0.00011,30344.99,BUY,1688785380319
0.00011,30335.0,BUY,1688785441427
0.00011,30334.97,BUY,1688785502624
0.00011,30334.97,BUY,1688785563774
0.00011,30334.95,BUY,1688785624840
0.00011,30359.92,SELL,1688785625226
0.00011,30344.969999999998,BUY,1688785686123
0.00011,30346.95,SELL,1688785686506
0.0001,30342.899999999998,BUY,1688785747450
0.0001,30342.899999999998,BUY,1688785808613
0.0001,30344.989999999998,BUY,1688785869745
0.0001,30339.989999999998,BUY,1688785930904
0.0001,30310.19,SELL,1688785992128
0.0001,30323.0,BUY,1688785992658
0.0001,30330.879999999997,BUY,1688786053444
0.0001,30354.99,BUY,1688786114537
0.0001,30354.99,BUY,1688786175724
0.0001,30338.989999999998,SELL,1688786236685
0.0001,30300.91,BUY,1688786237062
0.0001,30349.989999999998,BUY,1688786342734
0.0001,30353.61,SELL,1688786343095
0.0001,30334.989999999998,BUY,1688786403966
0.0001,30357.14,SELL,1688786404475
0.0001,30309.289999999997,SELL,1688786464960
0.0001,30303.68,BUY,1688786465201
0.0001,30314.019999999997,BUY,1688786581307
0.0001,30314.23,SELL,1688786581682
0.0001,30304.509999999995,BUY,1688786762477
0.0001,30318.78,SELL,1688786762999
0.0001,30304.519999999997,BUY,1688786881681
0.0001,30314.9,SELL,1688786882065
0.0001,30299.999999999996,SELL,1688786975980
0.0001,30256.39,BUY,1688786976480
0.0001,30280.170000000002,SELL,1688787037382
0.0001,30223.16,BUY,1688787037754
0.0001,30299.999999999996,BUY,1688787122737
0.0001,30314.67,SELL,1688787123053
0.0001,30299.999999999996,BUY,1688787183711
0.0001,30321.19,SELL,1688787184091
